Metric_ID,Metric_Name,Department,Definition,Formula,Source_System,Owner,Refresh,Data_Class,Target,Related_Document
M025,Claims paid within 10 business days,Finance,"Share of approved expense claims paid within 10 business days of Finance Associate verification.",Claims paid in time / claims approved,Accounting system,Finance Associate,Monthly,Internal,100 percent,DOC-09 §5; DOC-15 §4.5
M026,Payments without complete approval,Finance,"Number of payments made in the month that did not carry every approval required by DOC-09 §4 or the purchase order limits of DOC-12 §3.1.",Count of payments with missing approvals,Accounting system,Finance Manager,Monthly,Internal,Zero,DOC-15 §4.5; DOC-28 §10
M027,Month-end close on time,Finance,"Whether the month-end close was completed by the third business day of the following month.",Close completion date <= third business day,Accounting system,Finance Manager,Monthly,Internal,Every month,DOC-15 §4.5; DOC-28 §6
M028,Budget variance,Finance,"Difference between actual spend and budget for the year to date, per department and per budget line, as a share of the budget. Lines above 10 percent need an explanation from the budget owner.",(actual year to date - budget year to date) / budget year to date,Accounting system,Finance Associate,Monthly,Confidential,Within 10 percent per line,DOC-28 §4
M029,Onboarding path completion,Human Resources,"Share of new hires who completed every mandatory module of their onboarding learning path before the end of the 60-day probation period.",New hires with all mandatory modules completed by day 60 / new hires,Learning platform,HR Executive,Monthly,Confidential,100 percent,DOC-01 §3.2; DOC-11
M030,Handbook acknowledgement,Human Resources,"Share of new hires who acknowledged the Employee Handbook within 5 business days of their joining date.",Acknowledgements within 5 business days / new hires,Learning platform,HR Executive,Monthly,Internal,100 percent,DOC-01 §9
M031,Security and privacy training on time,Human Resources,"Share of employees who completed the Information Security and Data Privacy training within the first 30 days of employment.",Employees trained within 30 days / employees who joined,Learning platform,HR Executive,Monthly,Internal,100 percent,DOC-01 §7
M032,Learning path progress,Human Resources,"Average share of modules completed by employees who have a published learning path, per department. Employees on leave for the whole month are excluded.",Sum of completed modules / sum of assigned modules,Learning platform,HR Executive,Monthly,Confidential,Tracked for trend,DOC-11
M033,Quiz pass rate at first attempt,Human Resources,"Share of module quizzes passed at the first attempt, per learning path. Used to find questions or lessons that need review.",Quizzes passed at first attempt / quizzes attempted,Learning platform,HR Executive,Monthly,Confidential,Tracked for trend,DOC-11
M034,Report delivery on time,Data,"Share of recurring reports published on or before their publication date, including the monthly reports due on the 5th business day.",Reports published on time / reports due,Dataset register,Data Analyst,Monthly,Internal,100 percent,DOC-14 §6.4; DOC-25 §9
M035,Data-handling exceptions,Data,"Number of data-handling exceptions found in the quarterly access review: unregistered datasets, access no longer needed, or extracts with personal data kept longer than 14 days.",Count of exceptions found,Dataset register,Data Analyst,Quarterly,Internal,Zero,DOC-14 §6.4; DOC-25 §12
M036,Datasets with a complete register entry,Data,"Share of datasets in the analytics environment whose register entry names an owner, source system, class, refresh frequency and retention period.",Complete entries / datasets,Dataset register,Data Analyst,Quarterly,Internal,100 percent,DOC-25 §4
M037,Security incidents reported within 1 hour,Company-wide,"Share of security incidents reported to IT Security within 1 hour of discovery, based on the discovery time recorded in the incident log.",Incidents reported within 1 hour / incidents reported,Incident log,IT Security,Monthly,Confidential,100 percent,DOC-06 §5
M038,Deployments with recorded sign-off,Engineering,"Share of production deployments whose deployment log shows a Team Leader sign-off before the deployment started.",Deployments with sign-off / deployments,Deployment log,Team Leader / Tech Lead,Monthly,Internal,100 percent,DOC-10 §4
M039,On-call response time,Engineering,"Share of pages answered by the on-call engineer within 15 minutes during the on-call rotation.",Pages answered within 15 minutes / pages,On-call tool,Team Leader / Tech Lead,Monthly,Internal,100 percent,DOC-20 §4
M040,Customer notification before deployment,Engineering,"Share of production deployments for which the customer was notified at least 24 hours in advance.",Deployments notified 24 hours ahead / deployments,Deployment log,Software Support Engineer,Monthly,Internal,100 percent,DOC-10 §3
