"Requirement_ID","Role","Policy_Requirement","Process_Requirement","Competency","Mandatory_Optional","Priority","Source_Document","Source_Section","Assessment_Requirement","Source_Version","Scope"
"R088","Sales Executive","Obtain Branch Manager approval before offering a discount above 10 percent of the approved price list","—","Pricing authority","Mandatory","High","DOC-13","3.2","Quiz: which discounts need Branch Manager approval","1.1","Role-specific"
"R089","Sales Executive","—","Submit the weekly pipeline summary every Friday before 17:00","Pipeline reporting","Mandatory","Medium","DOC-13","3.2","Checklist item: weekly pipeline summary submitted on time","1.1","Role-specific"
"R090","Sales Executive","—","Hand every signed contract over to the Operations Coordinator within 1 business day","Sales-to-operations hand-over","Mandatory","High","DOC-13","3.2","Scenario quiz: hand-over deadline after a contract is signed","1.1","Role-specific"
"R091","Sales Executive","Never promise refunds, compensation or service-level exceptions; these are decided at Tier 3 by the Branch Manager","—","Commitment boundaries","Mandatory","High","DOC-13","3.3","Scenario quiz: responding to a customer asking for compensation","1.1","Role-specific"
"R092","Sales Executive","Spend up to 2,000,000 VND per client meeting on meals without pre-approval, only for a client with an active CRM opportunity","—","Client entertainment limits","Mandatory","Medium","DOC-20","6","Quiz: when client entertainment needs pre-approval","1.1","Role-specific"
"R093","Sales Executive","—","Claim client-entertainment expenses within 15 calendar days, quoting the CRM opportunity ID","Entertainment expense claims","Mandatory","Medium","DOC-20","6","Practical task: prepare a compliant entertainment claim","1.1","Role-specific"
"R094","Sales Executive","—","Complete the Lead Qualification and CRM Data Entry modules in Week 1, before contacting customers","Sales readiness","Mandatory","High","DOC-11","6.2","Checklist item: Week 1 sales modules completed","1.2","Role-specific"
"R095","Sales Executive","Never copy customer contact data to personal devices or personal accounts","—","Customer-data ownership","Mandatory","High","DOC-13","5","Quiz: where customer contact data may be stored","1.1","Role-specific"
"R096","Marketing Executive","Obtain Branch Manager approval, in addition to the Head of Sales & Marketing, for campaigns with a budget of 50,000,000 VND or more","—","Campaign budget authority","Mandatory","High","DOC-13","4.3","Quiz: which campaigns need Branch Manager approval","1.1","Role-specific"
"R097","Marketing Executive","—","Hand every campaign lead over to Sales in the CRM within 1 business day, tagged with its campaign source","Lead hand-over","Mandatory","Medium","DOC-13","4.2","Practical task: hand over a tagged campaign lead","1.1","Role-specific"
"R098","Marketing Executive","State no result the Company cannot prove and keep a documented internal source for every statistic with the campaign brief","—","Truthful marketing claims","Mandatory","High","DOC-13","4.5","Scenario quiz: spot an unprovable claim in a draft asset","1.1","Role-specific"
"R099","Marketing Executive","Publish customer names, logos or quotes only with the customer's written permission","—","Testimonial consent","Mandatory","Medium","DOC-13","4.4","Quiz: when a customer logo may be used","1.1","Role-specific"
"R100","Marketing Executive","Use the Company name in full at least once and only the approved logo files and colour palette in every external asset","—","Brand compliance","Mandatory","Low","DOC-13","4.4","Checklist: brand review of a sample asset","1.1","Role-specific"
"R101","Marketing Executive","Keep always-on digital advertising within 30,000,000 VND per month inside the approved annual plan","—","Advertising spend control","Mandatory","Medium","DOC-13","4.6","Quiz: monthly advertising limit","1.1","Role-specific"
"R102","Marketing Executive","Never export CRM contact lists to an external tool without the step-4 data-processing check","—","Marketing data-transfer control","Mandatory","High","DOC-13","4.6","Scenario quiz: exporting a contact list to an email platform","1.1","Role-specific"
"R103","Marketing Executive","—","Report campaign spend, leads, qualified leads and cost per qualified lead every month","Campaign performance reporting","Mandatory","Low","DOC-13","4.2","Practical task: build a monthly campaign report","1.1","Role-specific"
"R104","Marketing Executive","Approve content changes to existing web pages without further approval","—","Web content ownership","Optional","Low","DOC-13","4.6","Quiz: which web changes need approval","1.1","Role-specific"
"R105","Marketing Executive","—","Complete the Campaign Approval Workflow module in Week 1","Marketing readiness","Mandatory","High","DOC-13","4.8","Checklist item: Week 1 campaign workflow module completed","1.1","Role-specific"
"R106","Marketing Executive","Never copy customer contact data to personal devices or personal accounts","—","Customer-data ownership","Mandatory","High","DOC-13","5","Quiz: where customer contact data may be stored","1.1","Role-specific"
"R107","Operations Coordinator","Confirm that a signed data-processing agreement exists before any learner data is exchanged with a school's systems","—","Partner data-sharing control","Mandatory","High","DOC-12","6.1","Scenario quiz: a school asks for a learner export before the DPA is signed","2.0","Role-specific"
"R108","Operations Coordinator","—","Plan every field visit on the branch calendar at least 3 business days in advance","Field visit planning","Mandatory","Medium","DOC-12","6.2","Checklist item: visit planned 3 business days ahead","2.0","Role-specific"
"R109","Operations Coordinator","—","Submit a field visit report within 1 business day listing attendees, issues raised and follow-up actions with owners","Field reporting","Mandatory","Medium","DOC-12","6.2","Practical task: write a field visit report","2.0","Role-specific"
"R110","Operations Coordinator","—","Submit purchase orders to the Branch Manager within the approval limits and forward vendor invoices to the Finance Associate for verification","Vendor coordination","Mandatory","Medium","DOC-12","6.3","Scenario quiz: routing a training-venue quote","2.0","Role-specific"
"R111","Operations Coordinator","—","Claim expenses paid personally during a visit within 15 calendar days","Visit expense claims","Mandatory","Low","DOC-12","6.3","Quiz: claim deadline for visit expenses","2.0","Role-specific"
"R112","Operations Coordinator","—","Log a service disruption at a partner school as a customer issue and give the school the expected resolution time within 2 business hours","Partner incident handling","Mandatory","High","DOC-12","6.4","Scenario quiz: platform outage during a scheduled session","2.0","Role-specific"
"R113","Operations Coordinator","—","At contract end, disable the school's platform accounts on the end date and return or delete its learner data within 30 calendar days, filing IT Support's deletion confirmation","Partner offboarding","Mandatory","High","DOC-12","6.5","Scenario quiz: steps and deadlines when a school contract ends","2.0","Role-specific"
"R114","Operations Coordinator","—","Record hours worked beyond 8 on a field-visit day and take them back within the same month","Field-day working-time records","Mandatory","Low","DOC-20","8","Quiz: handling a 10-hour visit day","1.1","Role-specific"
"R115","Operations Coordinator","—","Present the planned partner-school visits at the Monday operations meeting","Visit coordination","Mandatory","Low","DOC-12","5.1","Quiz: items the Operations Coordinator brings to the weekly meeting","2.0","Role-specific"
"R116","Branch Manager","Approve purchase orders up to 100,000,000 VND per order and send larger orders to the Chief Operating Officer","—","Purchase approval authority","Mandatory","High","DOC-12","3.1","Quiz: who approves a 120,000,000 VND order","2.0","Role-specific"
"R117","Branch Manager","When absent more than 2 consecutive business days, delegate in writing to a named deputy with stated limits; never delegate 500,000,000 VND deal approval or Tier 3 compensation below Team Leader level","—","Delegation of authority","Mandatory","High","DOC-12","3.2","Scenario quiz: drafting a valid delegation","2.0","Role-specific"
"R118","Branch Manager","—","Complete the opening checklist by 08:45: alarm and access log, support queue escalations, channel staffing and the day's visits","Branch opening routine","Mandatory","Medium","DOC-12","4.1","Checklist: complete a sample opening checklist","2.0","Role-specific"
"R119","Branch Manager","—","At closing, confirm that data workstations are locked, personal-data paper is in locked cabinets and the alarm is armed, recording any exception the same day","Branch closing security","Mandatory","Medium","DOC-12","4.2","Checklist: complete a sample closing checklist","2.0","Role-specific"
"R120","Branch Manager","—","Make visitors sign in, wear a badge and stay accompanied where customer data is displayed","Physical access control","Mandatory","Medium","DOC-12","4.3","Quiz: visitor rules in customer-data areas","2.0","Role-specific"
"R121","Branch Manager","—","Chair the 30-minute Monday operations meeting covering escalations, the pipeline, staffing and planned school visits","Operations governance","Mandatory","Low","DOC-12","5.1","Quiz: standing agenda of the weekly meeting","2.0","Role-specific"
"R122","Branch Manager","—","On the first business day of each month, review forecast accuracy, Tier 2 breaches of 48 hours, claims above 5,000,000 VND and new-hire onboarding completion","Monthly performance review","Mandatory","Medium","DOC-12","5.2","Practical task: prepare a monthly review summary","2.0","Role-specific"
"R123","Branch Manager","Allow no more than one third of a team on planned leave on the same day without written approval","—","Leave coverage planning","Mandatory","Medium","DOC-12","7","Scenario quiz: approving overlapping leave requests","2.0","Role-specific"
"R124","Branch Manager","—","Approve team rotas so that every customer support channel is staffed during working hours","Support staffing","Mandatory","Medium","DOC-12","7","Practical task: check a rota for uncovered channels","2.0","Role-specific"
"R125","Branch Manager","—","Arrange a written delegation before taking any leave longer than 2 business days","Leave hand-over","Mandatory","Medium","DOC-12","7","Quiz: when a Branch Manager must delegate before leave","2.0","Role-specific"
"R126","Branch Manager","—","When a site cannot open, decide within 1 hour of the scheduled opening whether staff work remotely","Business continuity decisions","Mandatory","High","DOC-12","8","Scenario quiz: flooding at the Đà Nẵng office","2.0","Role-specific"
"R127","Branch Manager","Approve Đà Nẵng purchase orders up to 30,000,000 VND remotely until a Đà Nẵng Branch Manager is appointed; larger orders go directly to the Chief Operating Officer","—","Remote approval exception","Mandatory","Medium","DOC-20","9","Quiz: who approves a 40,000,000 VND Đà Nẵng order","1.1","Role-specific"
"R128","Branch Manager","Approve marketing campaigns with a budget of 50,000,000 VND or more before launch","—","Campaign approval authority","Mandatory","Medium","DOC-13","4.3","Quiz: campaigns that need Branch Manager approval","1.1","Role-specific"
"R129","Software Support Engineer","—","Update assigned Tier 2 tickets at least twice per business day, before 12:00 and before 17:00, until resolved","Ticket ownership","Mandatory","Medium","DOC-14","3.2","Checklist item: ticket update times in a sample log","1.1","Role-specific"
"R130","Software Support Engineer","Never deploy to production without a recorded Team Leader sign-off","—","Deployment gate discipline","Mandatory","High","DOC-14","3.3","Scenario quiz: urgent release without sign-off","1.1","Role-specific"
"R131","Software Support Engineer","Execute a rollback without prior approval when the rollback criteria of the deployment SOP are met","—","Rollback judgment","Optional","Medium","DOC-14","3.3","Scenario quiz: deciding whether to roll back without approval","1.1","Role-specific"
"R132","Software Support Engineer","—","Respond to an on-call page within 15 minutes during the on-call week","On-call responsiveness","Mandatory","High","DOC-20","4","Quiz: on-call response time","1.1","Role-specific"
"R133","Software Support Engineer","During an on-call week work from home only through the company VPN on an approved encrypted device and reach production data only through logged tooling","—","Secure on-call access","Mandatory","High","DOC-20","4","Scenario quiz: handling a night incident from home","1.1","Role-specific"
"R134","Software Support Engineer","—","Complete the Pre-Deployment Checklist and Deployment Approval Gate modules before joining any production release","Release readiness","Mandatory","High","DOC-11","6.2","Checklist item: deployment modules completed","1.2","Role-specific"
